polarity,text
1,@jonasbrothers http://twitpic.com/5cmep - tttthursday in argentineeeeeeeeeee  i will be theree
1,I love going out with his friends 
1,@Steve__baker I'm good fella. How's you? 
1,Remind me to not go to a bar in SF. Some of the people on scam school scare me 
0,Good Afternoon Twitter! It is a Beautiful day outside and I am stuck at work  for those who are not...enjoy the lovely day!
1,"@Aescleah Thanks for follow.. French Berber, am I right?  "
0,"Have to go to my church to get some community service hours for school. I slept in to 9:30, but I'm still tired. "
1,"Rose and crown tonight. Come  if u see joe keys, give him a high five. He deserves it ha"
1,"@christinagan you might luck out tho!  When I was there last month, it was supposed to be like that, but it just barely rained ONE day.  "
0,it was suposed to be sunny today  i guess bak to lucky building 2nd floor if u know what i mean. ha ga ha
0,This Peach never went to prom  Maybe I'll ask one of my little brother's friends 2 take me.
1,@eurazngal Just a lil bit  Me too... I gotta be more prepared for next time!
0,"poor bear (my gsd) is staying at the vets this   thanks for all of your kind comments, everything crossed x"
0,@__Kizzle I said that because I wanted you to be jealous...I did miss you kaye.  lol
0,@Riti25  Totally...pune is totally yummy compared to mumbai!!! uff!! rains this time r playing terrible mind games
0,Why oh why...kambuh lg 
1,What a difference a good night's sleep makes. Now I can actually enjoy my 10 days off work 
1,http://twitpic.com/6e90f - Mondays Menu at the Brunchbox  See you there !
1,Nah night  big day tomorrow.
1,@JasonBradbury oh wicked! i loved your caterpillar thing! 
0,Oh it's raining again!! 
1,I have a date with www.blogger.com 
0,@xoCaliGurrlxo nothing just busy...how about you? lol. I'm bored. i guess i shall go and study for dang state tests tomoro.   xoxo-Manda
1,@Alicehorror ya sabes usar twitter eee!!  ea ea 
0,@Blatter bad day for me then  #lions #chelsea
0,@hiphopgrandpa I'm afraid he's in until at least 2012.    We'll have to make do 'til then.
0,"kids next door are doing my head in. They woke me up at 8 running their wind up car across the wall, now screaming and shouting "
0,"@dvdstelt Yeah, me too. I have a problem with FeedBurner though because it won't accept &gt; 512K feeds so it's either less posts or shorter "
0,why do I expect kids to help 
1,I love when Emery chases his tail. It makes life beautiful. 
1,"It's nice to see other people in love, especially if it's the ones you love. "
1,I'll get money soon and then I'll go to shopping! 
1,@suchducks And with that post you pulled into the lead: http://bit.ly/leaderboard  (click on the mission title to view the Leaderboard)
0,@cannibaleyes I as bowling and the shit ripped 
0,"@Karthik Good suggestion Sir, i hear a buzz about the same every time when a new academic year starts n then just nothing happens ! SAD "
1,Can't believe it's passed midnight...time for bed!  Busy week ahead! Nite Tweeps! 
0,@swiftkaratechop IM SAD NOW...cuz Ive never had koolaid b4 
0,@bisante I wont be here later on tonight  I graduate tonight!!! But I cnat see you if I am not here
0,these freaking whitening strips make my teeth soooo sensitive  but my teeth are amazingly white :O
0,"The cat just headbutted me, almost broke my nose. "
1,&quot;Slow is always better...Trust me cuz I'm the DR.&quot; -Dr. Dre in the new Dr. Pepper commercial...SMH super corny! 
1,@xoxkaylanichole happy birthday 
1,@Jeremih how many hours is that from atlanta? 
0,Had fun networking at the executive party! My feet hurt from standing in heels for 6 hours though. 
1,@Jon_Favreau Neither can I. 
1,@pariscarney you are doing any kind of show...i would love to go and watch/listen to you live! YOU ARE AMAZING PARIS! BIG LOVE 
0,Mouth &amp; nose still hurt 
1,@drgnkiyo I work nights.  This is technically lunch 
0,@bitesizednin Unfortunately it was whiteboard marker so it just rubbed off 
0,I LOVE Mama P for all the free groceries! And I will miss her 
0,But not for me   http://mobypicture.com/?sgtmj5
1,Nothing like getting to work and hitting the ground running.. What A crazy hour and a half this has been 
1,Just watched the video for Halo Reach! 
1,@ArunBasilLal hihi *cheers* #coffeeclub 
0,says can't read anything  http://plurk.com/p/x5dut
0,is sad i am missing the greek season finale because my satelite isn't working 
0,"talking the kids into going to the beach to go surfing, missed ladies night last night. "
1,"@IAMtheCOMMODORE Say now doesn't work half the time, hope to catch ya next time. "
0,I feel like I didn't sleep at allll.  haha. Picking up @gmoneynj soonish.
1,yeah it was a very good thing to be over there with all you lovely lot such a laugh 
0,"One thing's for sure, it sucks. Bed time, tomorrow I start studying again "
1,@ddraper303 Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
1,@JackieNBB Waz up Miss L P  lol you guys ready for 2nite 
1,@friendlysunny Thanks Thanks Thanks 
0,@cakemaker1 what's up with all the white linen...it's a bit too muddy 4 that...saw someone who looked like they messed themself 
1,"@pinkhibiscusoz i think he is loved by them and us,,he will b ok "
0,"What, oh, what has happened to TwitPic? Anyone else having trouble? "
0,"@chloeisbell i know  sad times, i don't really like melinda's new sidekick, i loved prof. payne. and ah, exciting  can't wait!"
1,@andi0k mersi pentru seara cu waffles si furtuna. Cum s-ar zice...&quot;an afternoon to remember&quot; 
1,@jordanwv i bet i know themmmm 
0,"@siskybusiness we are hanging in there... lol, it keeps kicking us out "
1,"@JoWork oh, she gon com back again.........AND YO' AZZ BETTA MAKE A VID ABOUT YO' PROM BOY "
0,"I told my mom it was too late to do pilates...and she said, &quot;it's never too late to do Pilates&quot; ....what's she trying to tell me?  haha"
0,@taylorswift13 will you ever be coming to liverpool? or london again? I coudn't get tickets to see you  - please. god bless. - from twins!
0,Ugh.  I can't concentrate.  No WoW or EVE for me until I read these stupid chapters.  
0,@willowtree81 nooo... clothes no.... 
0,My favourite red cup is missing 
1,xD reminds me of the good timeS!!!  â« http://blip.fm/~7dmn2
1,"@OrionStarLight3 And forever &amp; ever, you'll be my laughing buddy, LOL. &quot;Inhaler!&quot; Hahahaha. "
0,suffering weekend... with my gastro 
0,@THEREALBANNER ; you need to come to Detroit 
0,My twitterberry won't post pics damnit 
0,@Alexrich1  I laid out...fell asleep....now I have lobster-ness 
1,Uh oh I think @dannygokey gots stalkers. I'm not one of them. I love Danny too much to be a bother.  And that's for reals.
0,"shitty day, shitty night, shitty mood. "
1,Is Heading Owtt.. Peace 
0,At work and bored 
0,WHY must the weekends go so fast??? 
0,nigeled myself in queen street cause everyones away peeing 
0,@JCoffical dont gooo 
0,Hopes my dads okay 
0,@gloriawywan me too..  WHAT i don't think i'll ever like anything better than xanga.
1,Yay just got done with night land nav very quick got all my points. 
0,this is absurd ! I feel like a dipping in the pool real quick . its too bad i dont have a poool 
1,@andreajmusic Thanks Drea! Good to hear from your this morning on Twitter. I'm still trying to learn how to reply to messages. Later. 
1,"Pasta and grapes for lunch, it was sooooo good "
0,@NathanFillion What if it's loud by no fault of your own?  A pothole ruined mine in a Subway parking lot.  
1,@delta_goodrem u r the lovliest miss delta. that irish git is so lucky to hav a lovely aussie lady like you. big fan of mcnuggets 
0,@Cadiou oh my oh my! 
1,@johannadc Replying to test the &quot;Is Twitter stuck?&quot; question.  
0,Has Mapumental access  May have to wait until Sunday late evening before I play unfortunately 
1,@NANCYLITTLEBIT thanks for the follow 
1,"My feet are killing me, but I think I'm doing a good job training the newbies. "
1,watching Confessions of a Teenage Drama Queen.    â¥
1,Any Designers out there using #GoodBarry ? Looks pretty darn impressive http://ad.vu/dxfx Would love sum fdbk - DM me if you got sum 4me 
1,Haven't drank any tea in like 5 days! Withdrawels lol Ran outta teabags but finally got some yesterday and having a lovely cuppa mmm 
1,Just finished some frivolous shopping and ended up with more stuff I probably don't need...not that I'm complaining 
0,Nnnooooo!!! Thunderstorm now!! 
0,Off to a slower start today...did my 8am Meeting and now just finished my workout...about to grab breakfast &amp; work on Admin. No RED BULLS 
1,"@lizziedr HAHAH! ) Wait, is she seriously in the Bahamas? Nick and I went to the Bahamas yesterday.  HHAHAH."
0,I don't know what to do anymore 
0,They got me!  
0,Can't sleep anymore 
1,@mileycyrus Â¬Â¬ I love you. But I just don't care what you do with Nick. Seariously. Anyways I LOVE YOU. 
1,"HDTV? I still have my Magnavox 27&quot; &amp; have satellite, so I'll just continue on with what I have until a REALLY good sale on flat screens. "
1,@kaytsanders Don't extend invitations that you don't actually want to come to fruition. 
1,@acristopher gooood morning 
1,Y'mean it? 
1,@gemmak500 I thought that was an accusation for a split second! 
0,I'm trying to figure out how your face resembles a hot dog... But aww. 
0,@SexyKellyC it was crazy! sad too tho cuz it was farwell party 4 2 homies being deployed 2 iraq 2marrow  but we'll never 4get that party
1,Scanning session is over 
0,anyone know why changing tracks doesn't work with streaming stereo bluetooth in  iphone 3.0 software.  the sound part works as does pause 
1,"@mileycyrus you can have a little  back. it's what you gave to me. you're an amazing person, miley. never forget that ???"
1,"@CorinaBecker Oh, yeah!  I remember those, too.    I used 'em back in the day."
1,http://twitpic.com/4f152 - LA Erotica 07 - Tre w/Kaylani... Ohhhh Tre  I love this pic...
1,watching anchorman and having cheese and crackers with my gingerman 
1,@Blue_Mamba24 we gonna get u one for now in 2009 
1,"@khaled74 hater  You're done so soon, you should enjoy your last time here hah"
1,@Adrienne_Bailon You rock!! 
0,Miserable weather  x
0,my trackball on my phone is broken again.. tear. 
0,@apies1819 How are you not following me?!?  
0,Is bummed/surprised/Iritated that one of my fav starbucks closed. 
1,@davynathan have funnnnn  see u tomorrow night!
0,@xoMusicLoverxo ...I was in the middle of S&amp;R and it wasn't developed fully. Now it's been half a year since I updated it. 
0,"I look like sh*t right now. 6 hours of sleep, sweaty and i smell. "
1,@VideogameMakers Thats a hard one. I'll go with space invaders on this one 
1,"@MarcBmusic I'd never heard &quot;The News&quot; before - like very much, thanks for broadening my horizons. Now checking out &quot;Comin' Up&quot; "
1,"I'm going to work. So,I can't be on today. Maybe later afternoon. I'll try to update @selengomezph and @demiphilippines later  God Bless!"
1,"hmm, think it's gonna be another night of no sleep..GREAT:/ didn't have such a lucky day, but..OH WELL (: ....swaaaag;P "
0,"got cyber bullied by an adult online, CHILD ABUSE. poor poor bay, shes not allowed to go to the millpond now "
1,@WhereisADTR Hope you guys have fun and eat alot of sausages and drink alot of german beer 
1,Fuck yes got my Blink 182 tickets 
1,@chinewinelover I was out till late so didnlt get a chance. Tasting note will be on twitter later 
0,@saifudeen And my internet plans allow me to only browse 4m the built in browser 
0,Soaring eagle is two hours away. 
1,Buy Homebase flat-pack furniture and contact 'flat pack rescue' to assemble it for you 
0,Too Bad about the Blazier game  but we still have a chance!
0,I really need to call my girlfriend 
0,@FredCast The latest podcast isn't appearing yet... 
0,@__duckie I have nothing to bring 
0,Where are all the banana slugs? 
1,is home from Queenstown and excited about the puzzle competition 
1,New moon trailer tonight on the MTV movie awards 
1,ahhh! i wanna go see @owlcity on october 19. 
1,No free beer but free gin and tonics instead...bonus 
1,@kellywilliams4 Ues - for why I'm not sure .... Back to normal tomorrow 
1,@jasdeep @sepiaverse have you come across songs of satinder sartaaj on youtube.. sounds good ...  #sufi
1,"@KaylaB876 Oh man, I SOO agree! I LOVE Jesse Spencer aka. Dr. Chase! HOTNESS!! I also have a little crush on House, is that weird? "
1,Is over the being scared there isnt any big deal and i dont care anymore so problem is now deflated 
1,@LittleFletcher OMG i really wanted to go!! Have an amazing time!!!  xx
0,It's cold!! And I left my sweater in my car!  it shouldn't be cold in June!
0,@WjSalls I am back! Just flew in from Florida...a bit chilly here in Chicago though  Might have to go back! How are you??
0,@Rythine it went away with that detroit goal and now penalty kill  they got off track
1,Poor tummy. . . Im listenin to my brother play paint it black by the stones. . . Awesome. I love music. 
1,"@Schofe My friend is terrified of bananas,doesn't really help when she's a chef ! "
0,@vippartyboys MONDAY. BBY. 
0,revising for science exams on monday 
1,loves Friends with Brad Pitt in; how ironic!! 
0,my mouth is in more pain than ever right now 
1,Switching from computer stuff to watching movie stuff 
0,"@HausOfEmily haha that's nice of you, he was in lockdown! and no  everything is all long and flowy and ugly!!"
0,@annemariemusic Intensive Dance workshop all week 
0,Working on the water text tutorial... will publish it in a few hours 
1,Coldplay tonight!!! 
1,"@KMegel SAGE MAM for me today  You got a Mini Wine D!? I didn't know that! BTW, what's your username on TPF?!  http://twitpic.com/7h2rb"
1,"@lilwldchld If you can't beat it...Hot Hot Heat with &quot;Talk to Me, Dance With Me&quot;.  ? http://blip.fm/~74115"
1,send me your positive vibes... !!!!!!!!!  please! x
1,I get the Best of Both Worlds....literally! lol 
1,"@eleshia123 haha thanks  hes hilarious, the hot one cause he shows off and then the head chef yells at him  i love it"
1,Bout done fishing... Didn't catch... Maybe next time... 
1,good morning 39 ...thank you girls @sarlitchin @annapickard @marjanholsreis 
0,@lilibat What's it doing?  I was just gonna watch some Stephen Fry.
1,graduation at marina with morg and macyy 
1,@Locostambien thanks for takin us out on thursday .. had a good time  Thankyoou x
0,Back From Work..Was A Longggggg Day..Have A Headache.. 
0,@modelity: I used to belly dance.  Now I don't have the time or money. 
1,@BATKAT88  Thanks again big sis  Always looking out for me x
1,"@GlendaWH thank you, dear one!   how are you??"
1,@markhoppus LOVES 30 Rock. 
1,@ShashiTharoor Best of luck! 
0,@ibelittle - mashbury corps we store our stuff there- no insurance for me! 
0,@EMbracex3 I feel your pain hun 
1,who said that if you eat strawberries your face will become red? 
1,went to Pat's show! won a dance contest with Sully !  and got a new baby laptop named Carlos!  good day.
1,@idestroyrunways You may rely on it 
0,@kelly_clarkson people says you're not  kelly 
1,"uitasem. asa a fost la Chez Mazilique @StreetDelivery http://tinyurl.com/n44a36 thx everybody for comming, I had such a lovely time "
1,Jimmy Dorrell a missionary &amp; local Hero  http://yfrog.com/16wt8j
0,has just said goodbye to her hubby who is off globe trotting away 
1,haha cavaliers are out..Lakers vs Magic..game 1 of the finals on June 4th 
1,"Brandi's a habitual liar. I do not have 3 nipples on the back of my head. Correction: it's your pride, dignity, and character. PWNED! "
1,the firmament loves us 
0,@mssensible ha! As if! Was up early with youngest... as always!! 
0,I wish i could've at least seen them live  i know it would've been worth it especialmente por ese sexy movimiento k hacen :L
1,lets do this Twins! 
1,Omg black veil brides told me good luck with my exams man i love them 
1,@Candacegirrl Thank God I don't have to take bio! 
0,Poor King James  Next up: My Lakers against the Magic!
1,"@wileypost1 Wow, that's far! I could get to Vancouver in that! Are you watching #Conan? "
1,Last day of finals  wish me luck
0,mastadon excurstion very disappointing. 
1,Likes wine  @scodal  #followfriday
0,"I hope to buddah, allah, and jesus that I find my wallet "
1,@wildobs Breathtaking!  Good morning from CT 
0,@Lenatu i dont think i did so good on the math  you?
1,@penutty Congrats!!! Have an awesome time 
1,i really don't care much for Susan Boyle.... I wonder if i will now be murdered in my sleep for saying that 
0,@MikeSheaAP I still haven't gotten my blink issue in the mail 
0,Well that blows  virginmobile charges me for getting txt messages even when my phone is off 
1,"@scodal  yeah I saw, looks like hard work, But I would know  whats upp handsome "
1,a little WS Journal and Economist on a Saturday morning 
0,@MeghanMBiro Wasn't my lemony mess.  Just a gastronomic craving bordering on lust for someone else's b'fast concoction.
1,"trip, nd no offence to anyone, hahah but I am soo thankful I live here  I will be forever grateful I swear ! Watched my uncles wedding too"
0,@farrahdiba  well a tastefully exposed dÃ©colletÃ© is a thing of beauty to behold...for men or women....and he should enjoy the view ;)
0,"@lubnaaa Really? Wow!!! So whatcha gon do? Still going to chamber or what? BTW, tak cuit pun my CV. Malas la "
1,"@lozzz nooo am much more coherent tonight, though hungry. Smcsyd wasn't on a boat "
1,@girljungle and a happy munday 2 u  
1,is havin a lil cuz with her wine 
0,"i am so anxious, i could be sick. "
1,cottage again on tueday  i love getting away
0,@penixtissue I'm not already cool? 
1,is riding her horse!! ahh i missed him soo much!!!!  p.s. go see the star trek movie ASAP!
1,@sarah_screaming i love duckies  dude i have to sit in this damn doctors lobby for three hours all a lone. Im so bored already.
0,"@lindsmartin sadly not, tis annoying because the Wii has a dvd drive, but no software "
1,@seblefebvre you must have a lot of comments 
0,"Kb babys,  I know     the weathers great.  Going to petes tonight prob.   Jenny!! Ahhhhhhhhhhhhh!"
1,"Crazy from the heat,lol "
1,@Audioscapist more guinness could help?   Ugh stones. 
1,Guess who.  Wish me luck on my job interview tomorrow. http://tinyurl.com/ng4qlq
1,can finally get a phone that works in a few weeks.... 
0,@tommcfly Do you not like your fab followers anymore?... You don't seem to reply to many people anymore  xxx
0,"Malibu, Santa monica, gladstone's. Now to study on the ride back.  andy, ew. Jacobo, gross"
0,I'M GOING TO GO CRAZY. I cannot live with my OK button malfunctioning 
1,"well, summer so far has been boring. i passed geometry though  barely."
0,i wish i could stop feeling what i am feeling 
0,"@Phyrra you are soooo lucky that you got some rain yesterday. It got dark &amp; rumbled here, but only rained a little north of us "
1,@BillieJArmstrng ..Petal. Rock on ROCKSOULBROTHA PEACE Thx  BSafe Love&amp;Light CYBERSCAMPxox PS If you could please respond re my...
1,@mp3mad yup. still here. lol 
1,@DonnieWahlberg packing for my flt to miami in 3 hrs for the crz  hope to finally get facetime - canada loves you guys. -Jules
0,"Since I'm neither a student nor a teacher, I'm actually sad that school is ending in 2-1/2 weeks  "
0,has spent ages listening to the a boring samsung presentation 
0,flattened PONY on California St.   http://twitpic.com/6qda3
0,shouldn't have eaten all of that chinese last night. eurgh! dont feel too good today 
0,Just realized/remembered how much I miss going to drum &amp; bugle corp shows. Can't find any anywhere on the west coast! 
1,@cloroks about damn time! lol  can't wait dear. Hear anything about Ky yet?
1,"@clarinet4ever  glad you're following, fellow mrazonite! how goes the ukulele-learning?"
1,@ozma how is the kindle? And how was your free wine? 
1,"@kathlynanne hair appt, shopping and dinner  what r ur plans? Meet for dinner?"
1,"@MoonApe Thanks, Alex.  Really enjoy Ape On The Moon as well, didn't have enough characters to say so in last message!"
0,Tomorrow's schedule: Off to see another education that wants to establish a comic school  Meeting sandwiched between 8 hrs' transport 
0,gettin in the shower sounds like we partying with out my better haLf again  this needs to end
0,"bio final  when i could actually be doing cool shit on a super nice day, i get to study. awesome."
1,Just saw the most beautiful blonde dreaded boy on her way home from workk 
1,@Tiaantjee YEY! it's #fletcherday today! join us! 
0,Just saw the show and I'm crying 
0,@Pwllcornel don't they realise they are such a bore *yawn* and it's such a pain having to block them 
0,my dad's really pissed off about it bcoz i'm sooooooo much younger than that... 
1,@BBBaumgartner go for it!!! 
1,drinking beer and eating bagel bites with emily ! 
1,@EdwardDroste unabashed bklyn fans tweet-questing SHIFT in Philly! or we'd have to do the uncouth again just like MHOW. pretty please? 
0,@MacGreenhalgh 16oz of Red Bull is taking over my mind.  PLUS I AM ALONE AND CANNOT TALK TO MY COWORKER.
0,Alice is awesome. I wanna rip Jame's head off tooooo. 
0,@JoLagerlow nor have I. Work time tomorrow. 
1,just made a twitter 
0,@nicolelmcc tell me how it is! Im stuck in home staging land...blaaaah. 
0,I want Ray's mask.  it's so creative and beautiful!
0,Watching the Cavs getting their A$$ handed to them... 
1,@fossiloflife yes buddy thanks for change 
0,Yo I have no clue how to twitt pic! Or friggin retweet on my phone! 
1,4/20 haha  the day beginss
1,"@dangerousdave42 hey dave, if you type in @a_pickle you can send direct messages to the user after the &quot;@&quot; sign... "
1,@anz_rocks19 it'd probably be a much nicer place to be without me bringing the mood down every day 
1,@GrangerSmith: Charlie wearing jorts. Sexy! That's worth a trip. Tell'em hi 4 me.  Gina G.
0,@PDXsays Thnks! Sometimes solutions too simple to see right away huh? ps- Did I miss you at #pdxcc09 ?  
1,Think I might watch Robin Hood on BBC iPlayer lmao 
1,@KirstyBee38 yeah same. i forgot what number frequency thingy radio1 was. so Internet it was. im listening to bubblewrap now  yum.
0,@xxtriplestarxx ouch 
1,YAY just dwnld new Delta interview or whatever it is haha. now to find the Brian one. how exciting  lah~
1,@HLCeder no rush darling take it nice and slow 
1,@abmendez I sometimes play #guitar with the side of the pick because it's easier to get a 'ping' effect using the edge of my thumb. 
0,at work. starting as a slow day.   wish tax season wasn't over.
0,i'm hating this hardcore. 
0,I've lost my exam results from 2003  Can't find them anywhere. Gonna need to get another copy - Â£35 pfft
0,Is stuck on the fact that i may not get my weekend of fun  lol
0,"@digistar  Less email, yes, but I don't have time for metrics "
0,Just had nice fried breakfast yum! Now must crack on with work 
1,Awwww snap!! They arent ready!!  LOL  @whwweb: WHW &amp; WHW Rocks! coming to the tube July 09.  Stay tuned.
0,wow so bored 
1,says it's time for a nice long nap! 
1,"@corien Thanks Corien! &lt;3 It was taken at Wolverhampton, opening night of the last tour "
1,@OhJValentine I got all my credits early. 
0,Tuesdays = the suck 
0,@geekigirl i love recreating the spa hence my recent obsession with the steam room and sauna at my gym.  not quite the same though 
0,SO I leave youtube for 3 hours and I go to reply to a comment someone left and noticed 4 people have unsubscribed to me today. WTF? 
0,hates being scared 
0,"ughh, 2 of 6 finals tomorrow &gt;.&lt; I will probably fail both epicly "
1,"If you know God, you know your Self. "
1,@mileycyrus hope you feel better 
0,"Man, I hate stupid allergies.  I'm sneezing, my eyes itch.  I'm miserable. Any suggestions? "
1,Off to yet another crazy day of work. Can't wait to finish so I can come home &amp; order my Macbook Pro 
1,@MisterHijinx hey I understand just wanted you to know we missed ya  in a totally bro sense....
0,"@DLDAVID just too much going on, with too many people I love getting hurt or their hearts broken. Can't bear to see loved ones hurting. "
0,"at work today until 7, gonna have to revise for my exam tomorow after "
1,@HeatherWirtz We miss ya here in ohio! come back whenever you want  feel free to stay forever!!
1,"@vicle @nicolefed Thank you! ha ha to celebrate, i walked to Whole Foods with Steve. woo hoo "
0,i hate to be grammatically incorrect.. but this stupid keyboard of mine isnt letting me type right so am missing out letters 
1,@Keadabeada im using UberTwitter so your now alone 
1,"ah, back home "
1,so its a happy morning so far  I'm not going to touch my laptop !! Gotta challnge my inner nerd and study my ass off starting after 8 min
1,"I'm back. and, my sister can't believe that I have a twitter account which famous stars have. "
1,"@bet33 HAPPY BDAAAAAAAAAAAAAAY  hava a blast!!!!......so what ur doing party, cake, all of that???"
0,Tis an awful day. 
1,"Hey, as long as they are over 18 no harm no foul!  "
1,watching E! and enjoying a sunny lazy sunday! 
0,@0muSic_frEak0 lol im so slow..kool..oh ur a gud friend ma &quot;friend&quot; tried 2 break us up n now shes pregnant...yaa E n Malik M 
1,Back from x-men origins . Was surprisingly good 
0,I'm kinda sad it's dead in here tonite - we FINALLY get a good band in here &amp; there's nobody but my bartender &amp; me to enjoy it! 
